year,flujo,macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,lv4,lit_lv4,total_millones,top_paises_lv1,tva_lv1,top_paises_lv2,tva_lv2,top_paises_lv3,tva_lv3,top_paises_lv4,tva_lv4
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241116,Azucar,NA,NA,151.7,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",-11.8,"Francia, Portugal, Italia",-11.8
2025,E,Agroalimentario,24,"Café, té, cacao y azucar",2411,"Café, té, cacao y azucar",241117,Melazas,NA,NA,6.33,"Francia, Portugal, Italia",39.1,"Francia, Portugal, Italia",39.1,"Portugal, Finlandia, Francia",-15.2,"Portugal, Finlandia, Francia",-15.2
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251111,Miel,NA,NA,110.49,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Alemania, Portugal",11.1,"Francia, Alemania, Portugal",11.1
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251112,Extractos y jugos y otros productos de origen a,NA,NA,20.95,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Italia, Portugal",12.9,"Francia, Italia, Portugal",12.9
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251113,Levaduras,NA,NA,54.94,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Italia",2.6,"Francia, Portugal, Italia",2.6
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251114,Otras preparaciones alimenticias,NA,NA,1455.71,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Alemania",9.5,"Francia, Portugal, Alemania",9.5
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251115,Especias,NA,NA,480.99,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Estados Unidos, Francia, Reino Unido",-3.3,"Estados Unidos, Francia, Reino Unido",-3.3
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251116,"Gomas, resinas y demás jugos y extractos vegeta",NA,NA,562.52,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Estados Unidos, Alemania, Francia",-3.7,"Estados Unidos, Alemania, Francia",-3.7
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251117,Articulos sin cacao de confitería,NA,NA,906.77,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Estados Unidos, Francia, Alemania",-3.8,"Estados Unidos, Francia, Alemania",-3.8
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251118,Chocolate y preparaciones alimenticias con caca,NA,NA,1125.64,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Alemania",40.5,"Francia, Portugal, Alemania",40.5
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251119,Pastas alimenticias,NA,NA,240.92,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Italia",-2.5,"Francia, Portugal, Italia",-2.5
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251120,"Panadería, pastelería y galletería",NA,NA,2257.96,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Portugal, Francia, Reino Unido",10.5,"Portugal, Francia, Reino Unido",10.5
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251121,Otras preparaciones a base de harina y cereales,NA,NA,776.73,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Estados Unidos",3.2,"Francia, Portugal, Estados Unidos",3.2
2025,E,Agroalimentario,25,Industrias agroalimentarias,2511,Industrias agroalimentarias,251122,Salsas y sopas,NA,NA,886.48,"Francia, Portugal, Reino Unido",7.7,"Francia, Portugal, Reino Unido",7.7,"Francia, Reino Unido, Italia",5.7,"Francia, Reino Unido, Italia",5.7
