"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181120","Uva",436.43,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Reino Unido, Alemania, Francia",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181121","Las demás frutas frescas y desecadas y demás fr",1372.47,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Francia, Alemania, Italia",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181122","Frutas congeladas",84.86,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Francia, Alemania, Reino Unido",NA
2021,"E","Agroalimentario","18","Frutas","1811","Frutas","181123","Frutas conservadas provisionalmente y cortezas",56.64,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Portugal",NA
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191111","Tomate",40.47,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Portugal, Países Bajos",NA
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191112","Aceituna",693.63,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Estados Unidos, Italia, Rusia",NA
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191113","Esparragos",13.99,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Suecia, Dinamarca",NA
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191114","Las demás hortalizas",657.2,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Portugal",NA
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191115","Zumos",597.59,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Reino Unido, Alemania",NA
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191116","Confituras y mermeladas",228.62,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Alemania, Francia, Países Bajos",NA
