macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,codigo_nc8
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072410
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072490
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072510
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072590
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072610
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072620
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072630
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072640
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072650
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072660
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072670
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072680
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072691
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072699
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072710
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072720
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072730
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072740
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072750
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072760
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072770
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072780
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072791
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02072799
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074120
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074130
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074180
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074230
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074280
